Barcode,Product Name,Packing Size,Previous Price,Pack Price,Pack Price Currency,GST,Supplier,TMG Selling Price,TMG Promotion Price,Other,Filename,Redundant,Previous
None,shoonfatt cheese crks 100g,12.0,7.0,9.0,SGD,,biscotti trading pte ltd,1.0,1.0,None,None,None,None
None,shoonfatt cornival naiyu crks 240g,12.0,13.4,13.4,SGD,,biscotti trading pte ltd,1.75,1.75,None,None,None,None
None,shoonfatt cream crks sp 88g,24.0,8.1,8.1,SGD,,biscotti trading pte ltd,0.6666,0.6666,None,None,None,None
None,shoonfatt grand butter crks 200g,12.0,13.4,13.4,SGD,,biscotti trading pte ltd,1.75,1.75,None,None,None,None
None,shoonfatt lemon puff 114g,12.0,9.1,9.1,SGD,,biscotti trading pte ltd,1.25,1.25,None,None,None,None
None,shoonfatt lighttreat cr crks sp 200g,12.0,13.4,13.4,SGD,,biscotti trading pte ltd,1.75,1.75,None,None,None,None
None,shoonfatt mefar cocoa 111g,12.0,9.1,9.1,SGD,,biscotti trading pte ltd,1.25,1.25,None,None,None,None
None,shoonfatt mefar coffee 120g,12.0,9.1,9.1,SGD,,biscotti trading pte ltd,1.25,1.25,None,None,None,None
None,shoonfatt pnutbutter swich 175g,12.0,13.8,13.8,SGD,,biscotti trading pte ltd,1.75,1.75,None,None,None,None
None,shoonfatt pineapple jam bis 120g,12.0,7.0,7.0,SGD,,biscotti trading pte ltd,1.0,1.0,None,None,None,None
None,shoonfatt sweeties sugar crks 200g,12.0,13.4,13.4,SGD,,biscotti trading pte ltd,1.75,1.75,None,None,None,None
None,shoonfatt lavish cheese swich 190g,12.0,13.4,13.4,SGD,,biscotti trading pte ltd,1.75,1.75,None,None,None,None
None,shoonfatt lavish chocolate swich 190g,12.0,13.4,13.4,SGD,,biscotti trading pte ltd,1.75,1.75,None,None,None,None
None,shoonfatt lavish pnutbutter swich 190g,12.0,13.4,13.4,SGD,,biscotti trading pte ltd,1.75,1.75,None,None,None,None
None,shoonfatt lavish vegetable crks 200g,12.0,12.4,12.4,SGD,,biscotti trading pte ltd,1.75,1.75,None,None,None,None
None,shoonfatt choc swich 114g,12.0,9.1,9.1,SGD,,biscotti trading pte ltd,1.25,1.25,None,None,None,None
None,shoonfatt corn swich 120g,12.0,9.1,9.1,SGD,,biscotti trading pte ltd,1.25,1.25,None,None,None,None
None,shoonfatt popcorn crks 200g,10.0,7.2,7.2,SGD,,biscotti trading pte ltd,1.25,1.25,None,None,None,None
None,shoonfatt sp butter crks 180g,10.0,7.2,7.2,SGD,,biscotti trading pte ltd,1.25,1.25,None,None,None,None
